ID,Type,Title,ContainerTitle,JournalAbbrev,Volume,Issue,Pages,Year,DOI,URL,Abstract,Authors,Source,Language
http://zotero.org/users/14600920/items/HPTRR38G,article-journal,Life cycle assessment and economic efficiency analysis of integrated management of wastewater treatment plants,Journal of Cleaner Production,Journal of Cleaner Production,113,,325-337,2016,10.1016/j.jclepro.2015.11.012,https://www.sciencedirect.com/science/article/abs/pii/S0959652615016418,"This paper evaluates several Wastewater treatment plant (WWTP) processes, an integrated sludge management system, and waste sludge disposal methods in a large city based on life cycle analysis (LCA) and economic efficiency analysis (EEA) together. Among the three WWTP processes considered, the A2O process (S-WWTP) showed the lowest eutrophication potential (EP) and global warming potential (GWP), but the highest acidification potential (AP) and human toxicity potential (HTP). Simple integration of sludge treatment by combining two sludge treatment lines resulted in enhanced anaerobic digestion and production of less sludge. For final sludge disposal, incineration with integrated sludge management showed the highest reduction of life cycle impact analysis (LCIA) in all four categories. The simple integration of sludge management could reduce the sludge handling cost by 6.1%. As a final sludge disposal method, incineration with integration of sludge management was the most economic: reducing operation and management (O&M) cost by 33%. These results demonstrated that application of LCA and EEA would be a useful tool for optimizing an integrated sludge-management system. The proposed integrated sludge-management alternatives could provide a valuable example for managing several WWTPs in a large city.","Piao, Wenhua; Kim, Yejin; Kim, Hyosoo; Kim, Minsoo; Kim, Changwon",ScienceDirect,
http://zotero.org/users/14600920/items/H46ASN9B,webpage,Procedures for Collecting Wastewater Samples,,,,,,2015,,https://www.epa.gov/quality/procedures-collecting-wastewater-samples,Field Branches Quality System and Technical Procedures,US EPA,,en
http://zotero.org/users/14600920/items/K5KT6GVE,article-journal,Occurrence of per- and polyfluoroalkyl substances in water: a review,Environmental Science: Water Research & Technology,Environ. Sci.: Water Res. Technol.,8,6,1136-1151,2022,10.1039/D1EW00851J,https://pubs.rsc.org/en/content/articlelanding/2022/ew/d1ew00851j,"Per- and polyfluoroalkyl substances (PFASs) have drawn increasing concern due to their widespread presence and persistence in the environment. In contrast, methods and manuals have been developed only recently to provide recommended analysis procedures for a growing list of selected PFASs, with more quality assurance and quality control (QA/QC) measures incorporated to ensure data robustness. This review examined studies on the environmental occurrence of PFASs in different water systems in the United States (US) along with similar studies in the other countries. The review has thus revealed a few patterns regarding the environmental occurrence of PFASs having different molecular features, the impact of possible upstream PFAS sources, and the effects of water treatment facilities. Further research is needed to analyze a wider array of PFASs, particularly those playing roles in PFAS degradation pathways. The review also indicates a need for technologies capable of destructing PFASs in addition to those separation processes currently implemented at water treatment facilities to mitigate the environmental presence of PFASs.","Wang, Yifei; Kim, Juhee; Huang, Ching-Hua; Hawkins, Gary L.; Li, Ke; Chen, Yongsheng; Huang, Qingguo",pubs.rsc.org,en
http://zotero.org/users/14600920/items/EWD94PSG,webpage,Identifying a Safe and Just Corridor for People and the Planet - Rockström - 2021 - Earth's Future - Wiley Online Library,,,,,,,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020EF001866,,,,
http://zotero.org/users/14600920/items/LXQ5M3GU,article-journal,Safe and Just Earth System Boundaries for Novel Entities,Environmental Science & Technology,Environ. Sci. Technol.,58,32,14059-14061,2024,10.1021/acs.est.4c06512,https://doi.org/10.1021/acs.est.4c06512,,"Diamond, Miriam L.; Wang, Zhanyun",ACS Publications,
http://zotero.org/users/14600920/items/MRJTF7RT,article-journal,Safe and just Earth system boundaries,Nature,,619,7968,102-111,2023,10.1038/s41586-023-06083-8,https://www.nature.com/articles/s41586-023-06083-8,"The stability and resilience of the Earth system and human well-being are inseparably linked1–3, yet their interdependencies are generally under-recognized; consequently, they are often treated independently4,5. Here, we use modelling and literature assessment to quantify safe and just Earth system boundaries (ESBs) for climate, the biosphere, water and nutrient cycles, and aerosols at global and subglobal scales. We propose ESBs for maintaining the resilience and stability of the Earth system (safe ESBs) and minimizing exposure to significant harm to humans from Earth system change (a necessary but not sufficient condition for justice)4. The stricter of the safe or just boundaries sets the integrated safe and just ESB. Our findings show that justice considerations constrain the integrated ESBs more than safety considerations for climate and atmospheric aerosol loading. Seven of eight globally quantified safe and just ESBs and at least two regional safe and just ESBs in over half of global land area are already exceeded. We propose that our assessment provides a quantitative foundation for safeguarding the global commons for all people now and into the future.","Rockström, Johan; Gupta, Joyeeta; Qin, Dahe; Lade, Steven J.; Abrams, Jesse F.; Andersen, Lauren S.; Armstrong McKay, David I.; Bai, Xuemei; Bala, Govindasamy; Bunn, Stuart E.; Ciobanu, Daniel; DeClerck, Fabrice; Ebi, Kristie; Gifford, Lauren; Gordon, Christopher; Hasan, Syezlin; Kanie, Norichika; Lenton, Timothy M.; Loriani, Sina; Liverman, Diana M.; Mohamed, Awaz; Nakicenovic, Nebojsa; Obura, David; Ospina, Daniel; Prodani, Klaudia; Rammelt, Crelis; Sakschewski, Boris; Scholtens, Joeri; Stewart-Koster, Ben; Tharammal, Thejna; Vuuren, Detlef; Verburg, Peter H.; Winkelmann, Ricarda; Zimm, Caroline; Bennett, Elena M.; Bringezu, Stefan; Broadgate, Wendy; Green, Pamela A.; Huang, Lei; Jacobson, Lisa; Ndehedehe, Christopher; Pedde, Simona; Rocha, Juan; Scheffer, Marten; Schulte-Uebbing, Lena; Vries, Wim; Xiao, Cunde; Xu, Chi; Xu, Xinwu; Zafra-Calvo, Noelia; Zhang, Xin",www.nature.com,en
http://zotero.org/users/14600920/items/8ZEFVST8,article-journal,Identifying a Safe and Just Corridor for People and the Planet,Earth's Future,,9,4,e2020EF001866,2021,10.1029/2020EF001866,https://onlinelibrary.wiley.com/doi/abs/10.1029/2020EF001866,"Keeping the Earth system in a stable and resilient state, to safeguard Earth's life support systems while ensuring that Earth's benefits, risks, and related responsibilities are equitably shared, constitutes the grand challenge for human development in the Anthropocene. Here, we describe a framework that the recently formed Earth Commission will use to define and quantify target ranges for a “safe and just corridor” that meets these goals. Although “safe” and “just” Earth system targets are interrelated, we see safe as primarily referring to a stable Earth system and just targets as being associated with meeting human needs and reducing exposure to risks. To align safe and just dimensions, we propose to address the equity dimensions of each safe target for Earth system regulating systems and processes. The more stringent of the safe or just target ranges then defines the corridor. Identifying levers of social transformation aimed at meeting the safe and just targets and challenges associated with translating the corridor to actors at multiple scales present scope for future work.","Rockström, Johan; Gupta, Joyeeta; Lenton, Timothy M.; Qin, Dahe; Lade, Steven J.; Abrams, Jesse F.; Jacobson, Lisa; Rocha, Juan C.; Zimm, Caroline; Bai, Xuemei; Bala, Govindasamy; Bringezu, Stefan; Broadgate, Wendy; Bunn, Stuart E.; DeClerck, Fabrice; Ebi, Kristie L.; Gong, Peng; Gordon, Chris; Kanie, Norichika; Liverman, Diana M.; Nakicenovic, Nebojsa; Obura, David; Ramanathan, Veerabhadran; Verburg, Peter H.; Vuuren, Detlef P.; Winkelmann, Ricarda",Wiley Online Library,en
http://zotero.org/users/14600920/items/VQME7ADB,article-journal,Stockholm to Stockholm: Achieving a safe Earth requires goals that incorporate a just approach,One Earth,One Earth,4,9,1209-1211,2021,10.1016/j.oneear.2021.08.012,https://www.sciencedirect.com/science/article/pii/S259033222100470X,"A global agenda-setting opportunity to reverse ongoing planetary destruction is coming in 2022 with Stockholm+50. The independent Earth Commission will propose a safe and just corridor for humanity to spearhead its transformative agenda, defining goals for a stable Earth integrating justice.","Rockström, Johan; Gupta, Joyeeta; Qin, Dahe; Pedde, Simona; Broadgate, Wendy; Warszawski, Lila",ScienceDirect,
http://zotero.org/users/14600920/items/SBRXISUN,article-journal,Planetary Boundaries: Exploring the Safe Operating Space for Humanity,Ecology and Society,,14,2,,2009,10.5751/ES-03180-140232,https://www.ecologyandsociety.org/vol14/iss2/art32/,"Rockström, J., W. Steffen, K. Noone, Å. Persson, F. S. Chapin, III, E. Lambin, T. M. Lenton, M. Scheffer, C. Folke, H. Schellnhuber, B. Nykvist, C. A. De Wit, T. Hughes, S. van der Leeuw, H. Rodhe, S. Sörlin, P. K. Snyder, R. Costanza, U. Svedin, M. Falkenmark, L. Karlberg, R. W. Corell, V. J. Fabry, J. Hansen, B. Walker, D. Liverman, K. Richardson, P. Crutzen, and J. Foley. 2009. Planetary boundaries:exploring the safe operating space for humanity. Ecology and Society 14(2): 32. https://doi.org/10.5751/ES-03180-140232","Rockström, Johan; Steffen, Will; Noone, Kevin; Persson, Åsa; Chapin, F. Stuart III; Lambin, Eric; Lenton, Timothy; Scheffer, Marten; Folke, Carl; Schellnhuber, Hans Joachim; Nykvist, Björn; Wit, Cynthia; Hughes, Terry; Leeuw, Sander; Rodhe, Henning; Sörlin, Sverker; Snyder, Peter; Costanza, Robert; Svedin, Uno; Falkenmark, Malin; Karlberg, Louise; Corell, Robert; Fabry, Victoria; Hansen, James; Walker, Brian; Liverman, Diana; Richardson, Katherine; Crutzen, Paul; Foley, Jonathan",www.ecologyandsociety.org,en
http://zotero.org/users/14600920/items/P95NZVLY,article-journal,A Never-Ending Story of Per- and Polyfluoroalkyl Substances (PFASs)?,Environmental Science & Technology,Environ. Sci. Technol.,51,5,2508-2518,2017,10.1021/acs.est.6b04806,https://doi.org/10.1021/acs.est.6b04806,"More than 3000 per- and polyfluoroalkyl substances (PFASs) are, or have been, on the global market, yet most research and regulation continues to focus on a limited selection of rather well-known long-chain PFASs, particularly perfluorooctanesulfonate (PFOS), perfluorooctanoic acid (PFOA) and their precursors. Continuing to overlook the vast majority of other PFASs is a major concern for society. We provide recommendations for how to proceed with research and cooperation to tackle the vast number of PFASs on the market and in the environment.","Wang, Zhanyun; DeWitt, Jamie C.; Higgins, Christopher P.; Cousins, Ian T.",ACS Publications,
